author_name,news_channel,url
Gabriel-Gatehouse,Radio New Zealand (RNZ),https://rnz.co.nz/
Gabriel-Gatehouse,New Statesman,http://newstatesman.com/
Iain-McDowell,BBC,https://bbc.co.uk/
Iain-McDowell,The Banbridge Leader,http://banbridgeleader.co.uk
Sheetal-Parmar,BBC,https://bbc.co.uk/
Sheetal-Parmar,Yahoo Finance,https://finance.yahoo.com/
Sheetal-Parmar,The World from PRX,https://theworld.org/
Rob-Corp,BBC,https://bbc.co.uk/
Rob-Corp,Yahoo News,https://news.yahoo.com/
Vanessa-Barford,BBC,https://bbc.co.uk/
Vanessa-Barford,BBC Mundo,http://www.bbc.com/mundo
Jawad-Iqbal,BBC,https://bbc.co.uk/
Jawad-Iqbal,Financial Times,http://ft.com/
Jawad-Iqbal,The Sunday Times,https://thetimes.co.uk/?sunday
Jawad-Iqbal,The Times,http://thetimes.co.uk/
Jawad-Iqbal,The South Asian Journal of Management Sciences,http://sajms.iurc.edu.pk/
Judith-Burns,BBC,https://bbc.co.uk/
Judith-Burns,Yahoo Finance,https://finance.yahoo.com/
Judith-Burns,CornwallLive,http://cornwalllive.com
Brian-Milligan,BBC,https://bbc.co.uk/
Brian-Milligan,The Guardian,http://theguardian.com/
Brian-Milligan,Daily Times,http://dailytimes.com.pk
